LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID9522,9522,0,3.328038454055786,34.750807973977885,19.48980581642865,0.0,16.0,16,0.5,1,,128.62295081967213,123.0,103.0,199.0,7846.0,17.755904120814037,0.03211185915582434,0.4507589466239473
ID9510,9510,0,4.952625751495361,34.55695295994469,19.52385324662578,0.0,15.0,15,0.5,1,,134.9016393442623,131.0,103.0,233.0,8229.0,24.560608650189426,0.05983053588507642,0.6201468789207011
ID9512,9512,0,3.48020601272583,34.521675077435184,19.465746130630894,0.0,14.0,14,0.5,1,,129.0327868852459,125.0,100.0,171.0,7871.0,15.263209812175546,0.042527147890199124,0.6897045376829302
ID9516,9516,0,5.280160903930664,34.47215455031893,19.726691306890125,0.0,13.0,13,0.5,1,,136.44262295081967,130.0,102.0,227.0,8323.0,24.741681827881692,0.06598397801734787,0.6827137582922149
ID9511,9511,1,3.310309886932373,35.37769664030642,32.01553766381535,0.0,15.0,15,0.5,1,,130.27868852459017,128.0,104.0,184.0,7947.0,16.233844428170205,0.041967851590174465,0.6464640992424587
ID9513,9513,1,4.436923503875732,35.46102503901887,32.23979436970371,0.0,14.0,14,0.5,1,,135.68852459016392,129.0,100.0,214.0,8277.0,24.511589764576375,0.0563579901126333,0.5906714928119587
ID9515,9515,1,3.7123963832855225,35.5800432215974,32.28686739454963,0.0,12.0,12,0.5,1,,133.327868852459,131.0,106.0,218.0,8133.0,19.44369761771614,0.04179265356148225,0.5501621782335496
ID9518,9518,1,3.4241724014282227,35.40565723031804,32.32462270340865,0.0,13.0,13,0.5,1,,134.47540983606558,132.0,105.0,211.0,8203.0,20.317157410570545,0.0543174363575087,0.6819896786859756
ID9506,9506,2,4.820592403411865,34.78989520029838,32.66325791048433,0.0,2.0,2,0.5,1,,136.19672131147541,127.0,106.0,273.0,8308.0,31.054156818978434,0.05489127219681966,0.45642823668894
ID9498,9498,2,3.5972328186035156,34.85303242734764,32.40892248692945,0.0,3.0,3,0.5,1,,133.54098360655738,129.0,104.0,221.0,8146.0,20.002977920376257,0.044721598078004195,0.5715663491012729
ID9499,9499,2,4.2635297775268555,35.054206885425444,32.497349501567264,0.0,4.0,4,0.5,1,,133.59016393442624,128.0,107.0,230.0,8149.0,22.749635197939863,0.04681273773590214,0.5252004428168929
ID9503,9503,2,4.091226100921631,35.20747066925312,32.55567058133641,0.0,5.0,5,0.5,1,,134.55737704918033,128.0,104.0,212.0,8208.0,22.705010159407497,0.047762275472337176,0.5403038464100705
ID9508,9508,3,3.5217156410217285,35.83398189632808,32.53641662534526,0.0,8.0,8,0.5,1,,129.672131147541,126.0,102.0,179.0,7910.0,15.306557757461787,0.03645142545945374,0.5958880454005568
ID9509,9509,3,3.4685909748077393,35.99363522626977,32.46298412430111,0.0,9.0,9,0.5,1,,129.54098360655738,127.0,106.0,166.0,7902.0,15.411655514027691,0.0375490377832926,0.6083844056046032
ID9500,9500,3,4.247267723083496,35.47550352931224,32.580024859047136,0.0,7.0,7,0.5,1,,130.65573770491804,125.0,95.0,217.0,7970.0,23.1703008510907,0.041708594586044305,0.4515502821467991
ID9536,9536,4,5.270331859588623,35.663072117375755,21.615781763386288,0.0,34.0,34,0.5,1,,135.68852459016392,127.0,108.0,214.0,8277.0,22.517060926925723,0.07092462921100508,0.7981776821398266
ID9538,9538,4,3.5560455322265625,35.57045852680897,21.6999443939883,0.0,35.0,35,0.5,1,,126.65573770491804,124.0,97.0,162.0,7726.0,13.681965314361383,0.0347784695616573,0.6222565292894086
ID9540,9540,4,4.493215560913086,35.60565424737054,22.088141445086105,0.0,36.0,36,0.5,1,,132.39344262295083,131.0,104.0,176.0,8076.0,15.630396335905445,0.05664411329491717,0.9081394151202704
ID9541,9541,4,5.21617317199707,35.48913057867688,21.364599738902125,0.0,32.0,32,0.5,1,,134.50819672131146,127.0,101.0,213.0,8205.0,23.28277113433856,0.05787865324270554,0.6321594585590924
ID9528,9528,4,5.145753383636475,35.26873535238402,21.07205994331163,0.0,28.0,28,0.5,1,,133.52459016393442,129.0,104.0,204.0,8145.0,21.483021635217774,0.05785075177566642,0.6797989531667588
ID9544,9544,4,5.588095188140869,35.70171413877121,21.404949567788425,0.0,33.0,33,0.5,1,,133.14754098360655,126.0,98.0,203.0,8122.0,22.763886652307985,0.061947007843481006,0.6823924603576093
ID9530,9530,4,6.280115127563477,35.27958842474595,21.220250437748774,0.0,29.0,29,0.5,1,,138.55737704918033,131.0,103.0,221.0,8452.0,24.71674505955017,0.07076096951767052,0.740917091762706
ID9531,9531,4,6.492424964904785,35.29914754674225,21.246348385580895,0.0,31.0,31,0.5,1,,137.18032786885246,132.0,91.0,220.0,8368.0,27.539975911827586,0.07260838201069646,0.674378706170968
ID9547,9547,4,3.3433332443237305,35.768663496076606,21.86490005907848,0.0,37.0,37,0.5,1,,127.77049180327869,127.0,96.0,173.0,7794.0,16.442215425161894,0.03566031703008997,0.5351408351409035
ID9548,9548,4,4.333495140075684,35.75349456744761,21.735020767048955,0.0,38.0,38,0.5,1,,133.4262295081967,133.0,95.0,170.0,8139.0,13.728873486674527,0.0565081987465404,1.0396206528628191
