LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(micron/frame),(micron),(frame),(micron),(micron),(micron),
ID28173 → ID28153,0,28173,28153,0.0029455917047313145,0.4209527229050357,0.052531378527793625,0.052531378527793625,2.5,31.438117510357685,14.449258769368168,0.0,
ID28153 → ID28134,0,28153,28134,0.5185557078886768,0.15812810349016326,0.43143221310638097,0.43143221310638097,3.5,31.615059408055757,14.613895871871833,0.0,
ID28192 → ID28163,0,28192,28163,0.09631684842792562,NaN,0.22600625975751487,0.22600625975751487,0.5,31.387060542373177,14.308133030541239,0.0,
ID28163 → ID28173,0,28163,28173,0.04772807036626161,2.189936335442833,0.15098535640488372,0.15098535640488372,1.5,31.35426822243086,14.394689054166385,0.0,
ID28193 → ID28165,1,28193,28165,0.4428045360284205,NaN,0.5891980435076642,0.5891980435076642,0.5,32.49700854281366,15.309745175160726,0.0,
ID28184 → ID28143,1,28184,28143,0.16795197584429636,0.9113567394954368,0.2672867941347528,0.2672867941347528,5.5,32.41056850378419,15.723693594531692,0.0,
ID28143 → ID28126,1,28143,28126,0.014446820926364977,1.295607554105691,0.11641829580296205,0.11641829580296205,6.5,32.30839391167693,15.601068496208045,0.0,
ID28126 → ID28210,1,28126,28210,0.47841044746763733,0.5968126558193627,0.5329728264448738,0.5329728264448738,7.5,32.03939477128752,15.767512493852958,0.0,
ID28175 → ID28155,1,28175,28155,0.12430989461572003,0.3889358918212338,0.25698916911566705,0.25698916911566705,2.5,32.20239421870309,15.710116885685817,0.0,
ID28135 → ID28184,1,28135,28184,0.038591089711972254,1.50222072600382,0.11705599670998315,0.11705599670998315,4.5,32.42279833422448,15.898967784323036,0.0,
ID28165 → ID28175,1,28165,28175,0.02076525154578104,0.47397447163183026,0.10861634833068519,0.10861634833068519,1.5,32.23581157334013,15.533318263383476,0.0,
