L4440_Vx (µm/s),cyk1_Vx (µm/s)
0.04445154817123438,0.16327177194510156
0.06220327622786357,0.07017561146900704
0.1779893406978516,0.08164289791367238
0.1279703707171734,0.032890792915271305
0.16466473619681637,0.025069066575708378
0.007824798877611273,0.2959386756206648
0.1178011282966466,0.04663345949572815
0.10797693004298595,0.07911902055373403
0.23988465176791465,0.030680405302783244
0.058661077268875775,0.13810225082541336
0.12674500798963068,0.03414716404261427
0.2411752416961505,0.05716308490080024
0.06167244914171732,0.15415585283494054
0.052578425043044774,0.08460620487011639
0.08163417478193935,0.0421605053112323
0.06019597460886814,0.03717914156754034
0.08964033330163801,0.10364721189387467
0.09923489053160779,0.20091900207348984
0.058368792731639016,0.1076198263367381
0.07798784162231982,0.08726960706589396
0.027711423574432105,0.07950332720234457
0.06231368614393631,0.22772239464616179
0.07790712108723027,0.018944475436592258
0.0,0.000838011892237489
0.027520576055250955,0.030700781434283897
0.0444756578294971,0.0351803686999574
0.05015960929218295,0.29666246471071955
0.08850248652202594,0.009509123404785668
0.019959734643207126,0.0792136277019054
0.14401419533464832,0.020292404383441466
0.05476114582995706,0.09214629450756533
0.03566963407111814,0.19937140640336892
0.042405381517151855,0.02490149735624243
0.03701276719495468,0.17733774795262747
0.0018140405749747402,0.003637481897510497
0.005071102157207008,0.13302557913569402
0.06696903523918678,0.044687677381267575
0.003184653044064589,0.10546785128218658
0.043168388857046124,0.05275064943564019
0.0012746807155139094,0.019959785144538954
0.006759998137739842,0.003053638083947874
0.05391982884140702,0.09305445063093103
0.04218140865031188,0.018852911308661645
0.02903314704426805,0.0019419705757172778
0.050182893175076515,0.2337779633375831
0.14449171104352415,0.07929510214522395
0.055080020954800094,0.06561096496005092
0.013984334188850766,0.051906798755745595
0.05830110489884248,0.10998689629858376
0.0,0.08761384364151467
0.0,0.05770921241835225
0.11426752536139588,0.0725351275188018
0.09384504065626516,0.05517079404549321
0.06385207859288186,0.013953028062080364
0.10918677833001027,0.0318086287088704
0.03689710633322818,0.04433314660521148
0.022011996019719503,0.018533653709126695
0.03675443752177472,0.04638687157306123
0.04949868493213501,0.033787778705038816
0.046392631535741205,0.010595695006418281
0.021726349840605508,0.06670344087741853
0.05587280842909479,0.0983868086180891
0.011334057302192946,0.08872708967198406
0.034166475647163,0.00550868401991238
0.11738212875838201,0.027609464967557073
0.013446190059423912,0.2311893812722353
0.033205754550892405,0.13138341042609908
0.008600419190289444,0.02484788469454884
0.010369002901831691,0.044798367778975036
0.0,0.01996634618058195
0.0010972264115949315,0.04509448330139918
0.024847332162958934,0.044496313664511435
0.0,0.0807642910398421
0.010328122053644506,0.005045729190624115
0.047246063634924694,0.005396781771720071
0.01355566941273878,0.003594707808348119
0.06515061682431877,0.01844386339986883
0.06830700679963328,0.08355148705189422
0.014263679373743798,0.007348837298840038
0.007337245574985473,0.007629091432175983
0.03231849266032398,0.032682698623145254
0.032466851184302925,0.02675483338226172
0.07436321293673202,0.16896819697479232
0.05365494839906049,0.008374743635535965
0.12016146481820514,0.018087761937690062
0.010535347347929758,0.03164487392500135
0.03078833650160746,0.053798986174054875
0.006370768997128096,0.003794176945734762
0.1575069971307336,0.20474274687401248
0.05174583455043376,0.049869799134366136
0.09507893616856009,0.043535578453256105
0.03313686629502684,0.0451060770091118
0.0008169518568365674,0.057717696895248596
0.03173745052177281,0.28071720893585733
0.06946113939865342,0.03821372658226707
0.024163271557033284,0.1602659544543535
0.1702121448779451,0.04999979653486264
0.0892470427768302,0.06487265712663301
0.14208767579399934,0.14866435603977307
0.05763037005228142,0.056842699194128696
0.021813636984231267,0.019271222039336778
0.10186738255166432,0.2323196807918329
0.03855342204396948,0.2626854290359205
0.028745056361520936,0.25788899136581306
0.008379392794442709,0.30324225274620104
0.0523054177982246,0.02294316674229151
0.035936242311144895,0.1305459199137303
0.0013336752397350438,0.32629783474083995
