LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID30482,30482,0,3.5297164916992188,25.34884566218674,12.064671257981303,0.0,4.0,4,0.5,1,,131.21311475409837,127.0,105.0,209.0,8004.0,20.326595676681293,0.02540951298099834,0.3199201472202858
ID30498,30498,0,4.571578025817871,25.703199811551983,11.80026721714519,0.0,5.0,5,0.5,1,,141.01639344262296,140.0,105.0,215.0,8602.0,21.813216027047062,0.06842362293189255,0.8280231564975064
ID30659,30659,0,4.815834999084473,25.845836875228812,12.768752658620869,0.0,3.0,3,0.5,1,,138.37704918032787,134.0,103.0,203.0,8441.0,21.72952211042712,0.056488380246383314,0.6809861556357788
ID30550,30550,0,5.414885997772217,27.034225963619082,13.316191650813256,0.0,7.0,7,0.5,1,,141.52459016393442,128.0,102.0,361.0,8633.0,48.72733885523165,0.0688588686715344,0.37422149177563574
ID30696,30696,0,9.160565376281738,25.23998229618086,12.404278344726983,0.0,2.0,2,0.5,1,,151.39344262295083,137.0,110.0,303.0,9235.0,44.04023867953964,0.09874480155317965,0.6178809483558659
ID30587,30587,0,6.45142126083374,23.94031506346929,13.246818573244942,0.0,0.0,0,0.5,1,,148.52459016393442,136.0,103.0,295.0,9060.0,38.72234779270538,0.05712888763663181,0.41456678558802734
ID30603,30603,0,6.558187484741211,26.136365741297393,12.854862903371343,0.0,6.0,6,0.5,1,,142.0655737704918,133.0,108.0,222.0,8666.0,29.280180357173922,0.06760257070290443,0.6144671895683872
ID30734,30734,0,9.375873565673828,24.341855416156157,12.639597932494668,0.0,1.0,1,0.5,1,,153.40983606557376,139.0,100.0,331.0,9358.0,47.30059092272891,0.09662723843703075,0.5715538757166554
ID30486,30486,1,5.213258743286133,36.144662330544456,17.79437144801716,0.0,4.0,4,0.5,1,,134.68852459016392,131.0,98.0,183.0,8216.0,17.48860675183185,0.05828634159729203,0.8483381251246421
ID30664,30664,1,6.325581073760986,36.77411713424867,17.57427226489275,0.0,3.0,3,0.5,1,,144.52459016393442,145.0,108.0,182.0,8816.0,16.730816434927345,0.07618419095067157,1.2230180304421754
ID30700,30700,1,6.542049407958984,36.850047447370734,16.47326472424051,0.0,2.0,2,0.5,1,,147.85245901639345,146.0,114.0,187.0,9019.0,17.423964403060676,0.09038403149956795,1.406772268266267
ID30589,30589,1,5.956866264343262,35.571134796421546,16.222526937784725,0.0,0.0,0,0.5,1,,144.0,146.0,110.0,181.0,8784.0,17.551828014958062,0.07167322085500445,1.0973992919682596
ID30735,30735,1,6.914139747619629,35.77547463602811,15.473561160094436,0.0,1.0,1,0.5,1,,148.78688524590163,150.0,111.0,186.0,9076.0,17.729556070864984,0.09391857326878654,1.4409976640220992
ID30736,30736,2,7.851396560668945,25.70031861051842,15.560366032451277,0.0,1.0,1,0.5,1,,150.36065573770492,140.0,109.0,238.0,9172.0,29.895948882128522,0.07964663916283293,0.7420577102782716
ID30513,30513,2,3.54842472076416,26.415712832403763,17.05814509586884,0.0,8.0,8,0.5,1,,133.86885245901638,132.0,104.0,191.0,8166.0,19.278204800444176,0.027561609575978217,0.3725114725853997
ID30499,30499,2,4.455316543579102,26.055973275132477,15.30462322066885,0.0,5.0,5,0.5,1,,134.98360655737704,127.0,109.0,195.0,8234.0,22.226479555760125,0.03887769574784499,0.4545445316182336
ID30484,30484,2,6.409428119659424,26.232649787123275,15.770538190655294,0.0,4.0,4,0.5,1,,142.70491803278688,136.0,110.0,198.0,8705.0,21.74269552615704,0.06618120376150242,0.8148153317898125
ID30662,30662,2,8.07711124420166,26.430918944385308,15.915277377676379,0.0,3.0,3,0.5,1,,152.13114754098362,146.0,107.0,247.0,9280.0,30.98573618609917,0.09702286259104892,0.8684498076881222
ID30552,30552,2,4.465406894683838,26.98117467677924,16.21143093336277,0.0,7.0,7,0.5,1,,144.34426229508196,134.0,105.0,273.0,8805.0,31.516072749155384,0.03170896603744944,0.2815284587204425
ID30699,30699,2,7.12666654586792,26.395675445579634,15.467115112336803,0.0,2.0,2,0.5,1,,145.11475409836066,136.0,110.0,234.0,8852.0,27.609236594936693,0.07564399091404943,0.7392529153652251
ID30588,30588,2,3.80409574508667,25.913692420583452,15.876892662081534,0.0,0.0,0,0.5,1,,141.39344262295083,139.0,96.0,197.0,8625.0,20.18520802347154,0.03264182158561538,0.4428439458246421
ID30605,30605,2,9.17357063293457,26.28059527201749,15.961726402690912,0.0,6.0,6,0.5,1,,151.0327868852459,137.0,107.0,282.0,9213.0,39.1556582599564,0.10101879792166316,0.7078058778393006
ID30737,30737,3,3.5006675720214844,24.562446172393265,15.718971183756778,0.0,1.0,1,0.5,1,,141.39344262295083,141.0,106.0,176.0,8625.0,15.41998561231991,0.04169776148209306,0.7340849253155814
ID30485,30485,3,3.81282901763916,24.564646596031054,16.769193510441827,0.0,4.0,4,0.5,1,,137.68852459016392,138.0,107.0,171.0,8399.0,13.318584739136208,0.04669514312874058,0.9224039745871373
ID30663,30663,3,4.005746364593506,24.379624896064016,17.092331405978143,0.0,3.0,3,0.5,1,,134.52459016393442,131.0,109.0,168.0,8206.0,15.305343900499862,0.04265801789314287,0.7191961697136036
