LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID3844,3844,0,19.800779342651367,38.74034612874182,25.865532218588033,0.0,9.0,9,0.5,1,,189.21311475409837,149.0,113.0,560.0,11542.0,89.83616843159521,0.17688751595747917,0.6331290445081721
ID3908,3908,0,22.515291213989258,38.971263189529495,27.17470613028254,0.0,20.0,20,0.5,1,,194.11475409836066,155.0,114.0,469.0,11841.0,86.25622651160818,0.19323400290004022,0.7288799714427747
ID3972,3972,0,6.372885227203369,37.714259874809024,31.153478038824343,0.0,27.0,27,0.5,1,,138.34426229508196,127.0,98.0,266.0,8439.0,35.7112891795212,0.057563223563304726,0.4217201823849971
ID3717,3717,0,18.674163818359375,38.78452583436573,25.68980630709279,0.0,12.0,12,0.5,1,,192.27868852459017,159.0,91.0,519.0,11729.0,88.84633384811872,0.19217289736492937,0.697709327019463
ID3782,3782,0,18.45370101928711,38.47585281083646,25.877273215680383,0.0,6.0,6,0.5,1,,188.72131147540983,153.0,114.0,605.0,11512.0,97.58639439791132,0.17608454570440868,0.5790877360655112
ID3980,3980,0,7.05269718170166,38.02725703729814,29.68897169241251,0.0,25.0,25,0.5,1,,143.49180327868854,130.0,96.0,285.0,8753.0,41.25151429576845,0.06744974918331709,0.4395923166169477
ID3725,3725,0,29.22133445739746,38.30177500581094,25.542602930464007,0.0,3.0,3,0.5,1,,228.24590163934425,170.0,106.0,809.0,13923.0,148.07021484616735,0.2652913484868591,0.6463947582549939
ID3919,3919,0,20.955707550048828,39.21598359083754,26.61373655056843,0.0,19.0,19,0.5,1,,196.7377049180328,156.0,108.0,530.0,12001.0,93.72173380800282,0.1930926145699943,0.679467655460477
ID3856,3856,0,19.19330406188965,38.770389154217916,25.97633241436227,0.0,8.0,8,0.5,1,,184.65573770491804,145.0,111.0,559.0,11264.0,94.9638326322012,0.1683624682746259,0.5604053272684817
ID3795,3795,0,25.974287033081055,38.89285893095951,25.544861448118187,0.0,13.0,13,0.5,1,,230.9672131147541,196.0,117.0,665.0,14089.0,112.67681915003854,0.27186519684780897,0.8763110383512064
ID3738,3738,0,20.979204177856445,38.481896334189635,25.870392084538157,0.0,5.0,5,0.5,1,,204.8360655737705,158.0,111.0,568.0,12495.0,107.32570060767814,0.20588234487724,0.6516987051861947
ID3930,3930,0,21.201501846313477,39.17454120078022,26.00865782705345,0.0,17.0,17,0.5,1,,211.9344262295082,163.0,90.0,613.0,12928.0,106.58062188666678,0.22726211133087773,0.7364494879265255
ID3676,3676,0,19.418960571289062,38.590098907565974,25.883220808928066,0.0,7.0,7,0.5,1,,189.0655737704918,143.0,105.0,607.0,11533.0,105.29100449903258,0.17773806484554502,0.541979574057688
ID3805,3805,0,17.537982940673828,38.70450900886731,25.9731106216305,0.0,11.0,11,0.5,1,,182.0,149.0,105.0,502.0,11102.0,82.31666497941552,0.15948743936871063,0.6082387063506774
ID3869,3869,0,26.81902503967285,38.35209484653621,25.671545800848204,0.0,4.0,4,0.5,1,,225.78688524590163,200.0,124.0,657.0,13773.0,109.3870977696636,0.25461926501159227,0.8378030102264227
ID4004,4004,0,7.507924556732178,38.37173539978058,27.1616949997148,0.0,21.0,21,0.5,1,,146.0327868852459,133.0,101.0,313.0,8908.0,42.81470433278531,0.0827549127906074,0.521376007621409
ID3689,3689,0,32.98763656616211,39.17177642442052,25.676680082959088,0.0,14.0,14,0.5,1,,236.80327868852459,198.0,119.0,544.0,14445.0,119.27207268428081,0.28851860045568894,0.8891234509779679
ID3817,3817,0,23.238506317138672,38.37223586887084,25.646954928849365,0.0,1.0,1,0.5,1,,213.49180327868854,190.0,125.0,556.0,13023.0,94.5971498779288,0.2310534793451062,0.847166438469134
ID3753,3753,0,19.134571075439453,38.155876386080166,25.418893958714328,0.0,0.0,0,0.5,1,,195.54098360655738,159.0,119.0,562.0,11928.0,95.44362625314342,0.17795343630632662,0.6190120666322051
ID3945,3945,0,3.64288592338562,37.73828736003255,30.548709398364053,0.0,26.0,26,0.5,1,,132.0983606557377,124.0,102.0,252.0,8058.0,27.2932866703107,0.03469816123602763,0.32461185049358116
ID3883,3883,0,21.64997100830078,39.12240400030183,26.303161071348192,0.0,18.0,18,0.5,1,,204.47540983606558,178.0,111.0,514.0,12473.0,94.19352535381205,0.20673551703050172,0.7437946169402766
ID4016,4016,0,6.909306049346924,37.26761604270154,28.285222168533373,0.0,23.0,23,0.5,1,,146.29508196721312,139.0,104.0,300.0,8924.0,36.46475205011687,0.08132498496557142,0.6034679520018801
ID3953,3953,0,8.840840339660645,37.87079890327092,28.694264178681156,0.0,22.0,22,0.5,1,,152.47540983606558,140.0,105.0,335.0,9301.0,46.04838272852336,0.09066656894719487,0.5505168332516267
ID3703,3703,0,24.71466064453125,38.375695214157304,25.617961770337946,0.0,2.0,2,0.5,1,,214.4262295081967,168.0,107.0,625.0,13080.0,104.13028042095368,0.23720249323646722,0.7896039818702547
ID3832,3832,0,21.017244338989258,38.674539137302425,26.05495964300469,0.0,10.0,10,0.5,1,,195.08196721311475,152.0,109.0,602.0,11900.0,114.15636864727364,0.1998452071357104,0.5692663236758966
