LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID16656 ? ID16614,0,16656,16614,0.26922132025613704,NaN,0.33938408310987295,0.33938408310987295,0.5,36.58905731915047,33.50579439825523,0.0,
ID16646 ? ID16603,1,16646,16603,4.4353802682572185,NaN,1.1720879429479887,1.1720879429479887,0.5,36.640346048695,17.066791990608387,0.0,
ID16567 ? ID16658,2,16567,16658,0.017837992529384637,2.5747894404831912,0.09277170724248572,0.09277170724248572,8.5,36.49845044898984,18.94766952475173,0.0,
ID16658 ? ID16547,2,16658,16547,0.1342051347045437,0.15918087844239287,0.20975789467033165,0.20975789467033165,9.5,36.401051014077524,18.83246804625685,0.0,
ID16647 ? ID16604,2,16647,16604,0.09986748067981178,NaN,0.25519214903588394,0.25519214903588394,0.5,35.94475906060471,18.780941708691337,0.0,
ID16594 ? ID16567,2,16594,16567,0.027618192610453764,2.626983851623849,0.12638490653882994,0.12638490653882994,7.5,36.522756614022086,18.92300304634181,0.0,
ID16604 ? ID16668,2,16604,16668,0.006548197213150519,1.533192443262403,0.05683298592734144,0.05683298592734144,1.5,35.935486950156815,18.91237575987607,0.0,
ID16668 ? ID16679,2,16668,16679,0.059576308024475534,0.05747459198803174,0.1478785277716834,0.1478785277716834,2.5,36.03371773850892,18.941019685659562,0.0,
ID16538 ? ID16594,2,16538,16594,0.023713418544029294,0.9163422431476459,0.1418451300796862,0.1418451300796862,6.5,36.487823671212226,18.922407859135706,0.0,
ID16557 ? ID16538,2,16557,16538,0.13939269291979137,1.938853183217675,0.24642404349152294,0.24642404349152294,5.5,36.50540329273704,19.09716738782634,0.0,
ID16679 ? ID16585,2,16679,16585,0.2631211425138019,0.7594261321393161,0.3104937583326228,0.3104937583326228,3.5,36.18531778713488,19.09345216318577,0.0,
ID16585 ? ID16557,2,16585,16557,0.17014533546605737,1.0855125851773295,0.29124072504672927,0.29124072504672927,4.5,36.410986552199645,19.21783497991862,0.0,
ID16648 ? ID16605,3,16648,16605,6.847773034157902,NaN,1.4019559596921496,1.4019559596921496,0.5,37.53209374316777,19.371888805613125,0.0,
