LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID21605 → ID21626,0,21605,21626,0.019006307354978005,0.7098529440782284,0.12247687311463108,0.12247687311463108,3.5,20.92698664809792,18.610616695447824,0.0,
ID21637 → ID21605,0,21637,21605,0.08376554478854166,NaN,0.1634872073030806,0.1634872073030806,2.5,21.042061716940797,18.67977841398965,0.0,
ID21621 → ID21617,1,21621,21617,0.00225889629092362,2.6456270461908997,0.03968252154476999,0.03968252154476999,5.5,20.105160702938086,22.753518027836527,0.0,
ID21711 → ID21686,1,21711,21686,0.057037095458596386,0.7469572646661524,0.18991907104035805,0.18991907104035805,19.5,22.04762819814672,21.634559826848864,0.0,
ID21722 → ID21716,1,21722,21716,0.0904720962554454,0.2343925639433862,0.1901047607835537,0.1901047607835537,22.5,22.202368557365432,20.072467550938104,0.0,
ID21662 → ID21667,1,21662,21667,0.016601655343653196,1.8421248091073923,0.11869431127520554,0.11869431127520554,11.5,20.99481444516811,22.863704590692,0.0,
ID21681 → ID21672,1,21681,21672,0.039351271184693795,0.9005942990347443,0.14565387218336753,0.14565387218336753,8.5,20.838160149587903,22.852323100299085,0.0,
ID21655 → ID21693,1,21655,21693,0.10948158843121228,0.44521614020202926,0.2500735508994253,0.2500735508994253,15.5,21.57008811262648,22.35477292137012,0.0,
ID21759 → ID21747,1,21759,21747,0.3516210752700522,2.893322094422626,0.41722824519789314,0.41722824519789314,28.5,22.414461880826224,20.511898561682564,0.0,
ID21699 → ID21705,1,21699,21705,0.09393530181434284,1.7901384007708896,0.25469823086082,0.25469823086082,17.5,21.818926139511543,21.747789012070463,0.0,
ID21728 → ID21722,1,21728,21722,1.856137442762155,0.21725266999158915,0.9121628886711876,0.9121628886711876,21.5,22.128116595046432,20.616401637312354,0.0,
