LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID24837 → ID24834,0,24837,24834,0.6788767287733171,NaN,0.5774100508213572,0.5774100508213572,16.5,42.38856388289503,21.836979296185955,0.0,
ID24819 → ID24826,1,24819,24826,2.654792880013471,0.5162683705972568,1.2543860548092596,1.2543860548092596,11.5,38.5815001432087,19.75272258865036,0.0,
ID24822 → ID24819,1,24822,24819,0.13314497657649227,1.1885976736518555,0.262965000654282,0.262965000654282,10.5,38.66650915478011,20.49222666381759,0.0,
ID24828 → ID24822,1,24828,24822,2.98937425410522,NaN,0.8282804291936227,0.8282804291936227,9.5,38.48545305534998,20.935662772983726,0.0,
ID24820 → ID24831,2,24820,24831,2.756969797936575,NaN,1.0202212123710108,1.0202212123710108,11.5,38.28611445418028,31.71820227455705,0.0,
ID24856 → ID24869,3,24856,24869,0.9732323493592657,NaN,0.7689147606093258,0.7689147606093258,19.5,37.68065906369342,19.917924852326124,0.0,
ID24869 → ID24860,3,24869,24860,5.151738516425623,0.33278282063830544,1.4721376346153874,1.4721376346153874,20.5,38.65819369001668,19.399317166552933,0.0,
ID24857 → ID24870,4,24857,24870,1.184406260447609,NaN,0.5887446630530507,0.5887446630530507,19.5,40.780764860587965,21.83925258261616,0.0,
ID24870 → ID24861,4,24870,24861,2.0184281923823773,0.2950692293803285,1.1639077514579648,1.1639077514579648,20.5,41.55248270719562,21.442274317395224,0.0,
ID24858 → ID24871,5,24858,24871,5.414806374216628,NaN,1.1350796799377432,1.1350796799377432,19.5,37.81698592318831,31.72491816285594,0.0,
ID24835 → ID24867,6,24835,24867,1.3312036603591773,NaN,0.7514575574321658,0.7514575574321658,17.5,43.13503150829476,34.78978315978962,0.0,
ID24867 → ID24859,6,24867,24859,0.13990585135874428,1.5594859263649192,0.29319726711938154,0.29319726711938154,18.5,42.97898960987277,34.416205647638556,0.0,
